language,category,recall_mean,recall_sd,precision_mean,precision_sd,f1_mean,f1_sd,support_mean,baseline_recall_mean
OS,NEG,0.9947368421052631,0.011768778828946249,0.9565895873825566,0.025500825080655477,0.9750755387123199,0.012597888402089731,59.2,1.0
OS,NUM,0.7136962168266516,0.09412029237439377,0.9114078674948238,0.07223664495128117,0.7943673593468396,0.03709877685938953,24.2,0.8198697534349708
OS,PART,0.26857142857142857,0.22346985369441685,0.7,0.4472135954999579,0.37777777777777777,0.2897423291201177,5.2,0.4723809523809523
OS,PRO,0.9828455754705085,0.008693005150335945,0.9840185606397995,0.007076937005142654,0.9833864381816442,0.002655327668098644,443.0,0.9611136898034817
OS,PRO$,0.9653177775056356,0.021496784288093533,0.9642325065340296,0.012210320626675819,0.9646036301897037,0.010001594015215508,151.8,0.9815444380349063
OS,Q,0.9269494271177022,0.01820944870994867,0.9546011725856687,0.01949729855844368,0.940474022935323,0.015299763622387733,80.8,0.9582986225920005
OS,TO,0.2571428571428571,0.2768465114999739,0.5333333333333333,0.5055250296034367,0.3377777777777778,0.3408051468921034,5.4,0.0
OS,VB,0.9354948271028671,0.00978165482336894,0.892619092783075,0.009714161794706256,0.9134793431192765,0.0031547669055846514,857.4,0.782561487836231
OS,WH,0.9174639086403793,0.009040743203654611,0.9843713450292398,0.015311178129464274,0.9496720722527174,0.0083484247316311,50.6,0.9700301659125188
OI,ADJ,0.7449736086945739,0.015662525165936532,0.7478153157332322,0.02163584205322467,0.7460693738556309,0.0070648121908535,916.4,0.6175290546074885
OI,ADV,0.9405715562502877,0.003983386340836472,0.9511300442273308,0.006951357574045289,0.9458023455440948,0.003024588042439597,1870.8,0.9503492119362944
OI,ALSO,0.7583530685001274,0.0405456892431405,0.8774128552294055,0.0500085319827194,0.8117642112560993,0.011523807230242511,55.8,0.0
OI,AP,0.9628763123693046,0.004217236832198721,0.9451964337305757,0.008054611474747708,0.9539263439310467,0.0029499532931191626,2585.8,0.8782925280100267
OI,C,0.9693052454582892,0.00771278193248666,0.958752291994933,0.004247479067564789,0.9639714941691896,0.0020652493626738926,1214.6,0.9966528946075238
OI,CONJ,0.9836534776720376,0.003751278548052878,0.9825617345836889,0.0024823044936658784,0.9830999497069792,0.0010312455545736258,1697.6,0.9982258631807985
OI,D,0.9364407798630833,0.00768495340017783,0.9579421566255958,0.006795969633051724,0.9470366151040688,0.003761012869510101,1191.4,0.8402774005657841
OI,ES,0.16037597044048657,0.13985304814488672,0.6747368421052632,0.2991770800174309,0.21711487270493485,0.15065331565406306,31.0,0.0
OI,INTJ,0.2704761904761904,0.24509704681671837,0.8,0.4472135954999579,0.3822222222222222,0.2869163426058561,4.2,0.9028571428571428
OI,N,0.9590548739068161,0.008312650673003212,0.9502977136051565,0.00930209006006083,0.9545960150945179,0.00254358450356096,5752.4,0.9787366186223802
OI,NEG,0.9954532483841909,0.004940630259708011,0.9533658370987041,0.014510821331621359,0.9739082368373626,0.00812977630795241,261.0,0.9977551597398925
OI,NUM,0.8486504956875487,0.015224983512256606,0.9237496099226978,0.03156077763066669,0.884466141016155,0.02028996827227468,117.6,0.9063468682073026
OI,ONE,0.9752691550539232,0.009670340525324526,0.8849902265755925,0.04122837227475889,0.9274474348352955,0.020806045280302738,66.0,1.0
OI,OTHER,0.9925925925925926,0.012072597046671579,0.9790382012870132,0.0033627698226779694,0.9857282550000587,0.005287505323107934,103.4,1.0
OI,PART,0.7566105395329284,0.024459818895814833,0.8670494714555593,0.01150919370374752,0.8078228837607794,0.01296667874957986,394.2,0.4254532195533852
OI,PRO,0.9768841797873391,0.004787543154896488,0.9643233207002885,0.005011160398763793,0.9705433943581333,0.0003238589031825496,3093.8,0.979776452736024
OI,Q,0.9288018425962022,0.006273559766343922,0.9332821363892908,0.016596721655729618,0.9309394913781756,0.006537786499413011,644.2,0.9420307989550294
OI,SUCH,0.8864554865424431,0.07650096011337251,0.9833333333333334,0.03726779962499651,0.9307959339342144,0.046117515000245426,23.2,0.9904761904761905
OI,TO,0.9426927160590596,0.02765524593791937,0.9182477301709451,0.02165161407106547,0.9300012811659142,0.016163213512095903,205.8,0.0
OI,VB,0.9593068406495162,0.004306242079778963,0.9636413762638487,0.009191516682227391,0.9614360773820538,0.0033898319833156674,5353.4,0.8905230877387467
OI,WH,0.8524898912182518,0.03877953216061625,0.9276254811257946,0.03859540718609165,0.887617169314475,0.02447751834710571,130.4,0.8223043928551365
GOTH,ADJ,0.7609041514912916,0.036226868034522484,0.8618793762383709,0.04417953625337687,0.8071228776872316,0.020397039167965262,387.6,0.8094164228706557
GOTH,ADV,0.7577094319021608,0.02760121495086852,0.8403517537826719,0.018400921670758984,0.7964977816228556,0.013869890172651675,290.0,0.7306158233719808
GOTH,AP,0.96199032207179,0.005564257515054339,0.9268740916720268,0.007673240518059086,0.9440790245492756,0.0037949627035222815,542.8,0.9958293233799109
GOTH,CONJ,0.9300164148935739,0.008867661153820114,0.9301808292509289,0.014269050714486555,0.9300049138845659,0.005646681271847182,511.4,0.8854919147967045
GOTH,INTJ,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,
GOTH,N,0.9131272800022915,0.015255486375208982,0.9176714204813555,0.01424477494463462,0.9152181645400936,0.003919761356009084,1495.8,0.86224105341183
GOTH,NUM,0.6346031746031746,0.14707357832106097,0.9457013574660633,0.07544494117888266,0.752126794062278,0.11922396674736699,22.6,0.8831746031746033
GOTH,PART,0.3421736158578264,0.2044800464855951,0.6755555555555556,0.413237742829434,0.44197802197802194,0.2498742589229833,13.8,0.5652452810347548
GOTH,PRO,0.9736524755651835,0.00858737091768643,0.9709913455035087,0.0032123056659584103,0.9723062549142656,0.005020693007154613,1216.4,0.9926799106424831
GOTH,VB,0.9258714265366924,0.01083933853134429,0.8837503908861754,0.01754020969880466,0.9041594240488247,0.006054082074912522,1513.8,0.9629544612301778
OHG,ADJ,0.5680635759958136,0.05130704709782211,0.5634718913510678,0.04343990237715124,0.5632880663994828,0.026657139568882035,589.2,0.38402246286207725
OHG,ADJOS,0.15833333333333333,0.13869430814244363,0.44761904761904764,0.2594036419040923,0.22514557338086752,0.18038185436805831,16.4,0.4447222222222223
OHG,ADJS,0.20094294529282997,0.09989895714511751,0.5423362864338473,0.03901215586437671,0.27957064479077387,0.09874162648578418,143.0,0.30198966394220667
OHG,ADV,0.8277561240044626,0.008383403017030047,0.8770031541852857,0.020737924956017853,0.851489666904514,0.00684306862007679,1376.6,0.8459362933641627
OHG,AP,0.9327854073829502,0.011550903491434736,0.9393196765194514,0.010549773957766215,0.9359417213280983,0.002371119285016869,984.0,0.959437696740052
OHG,C,0.8066219743383767,0.03709592629749064,0.830683634577779,0.019120869558401428,0.8180122763877747,0.020468216143612144,468.2,0.35187349976505666
OHG,CARDS,0.13602657277271582,0.06637132998337199,0.6583333333333333,0.21682686385429478,0.21229959024282924,0.0893101741073797,25.2,0.16290404312844706
OHG,CONJ,0.9404580343563484,0.00805449923350103,0.947269522443474,0.01031858529404503,0.943834452780403,0.00807665885105187,666.2,0.9256835357062988
OHG,D,0.9263436377436843,0.004206579089065929,0.9463028399944717,0.009806192149146228,0.93619042247517,0.0049723211457980135,2184.6,0.946340877265434
OHG,INTJ,0.6722458319712324,0.044386830471431334,0.8789285714285715,0.08034126827325483,0.7593093454652962,0.03544359386639944,20.8,0.7863245069194725
OHG,KOKOM,0.06295238095238095,0.06676727102949187,0.28095238095238095,0.27063375692157754,0.10210084033613445,0.1056244357717581,23.2,0.15332926332926333
OHG,N,0.8830521839496719,0.011435233365336686,0.81719413688694,0.0179052190784923,0.8486790122514976,0.0077193063396293,2620.4,0.7107114861028062
OHG,NEG,0.9902805294723833,0.006253887404951345,0.96212274754962,0.00712100971875347,0.9759745250242565,0.003950033047677449,252.0,0.9991304347826088
OHG,NUM,0.44707381193124374,0.09715529250485125,0.7006516290726817,0.07382491510127522,0.5403116486869347,0.08263808733554862,47.4,0.51396904410049
OHG,PART,0.667531661214104,0.03676951152663543,0.7566455442834009,0.022959358490983676,0.7083956868109473,0.01554232885531373,126.4,0.4859254089422028
OHG,PRO,0.9450592068744512,0.012093788513185872,0.9559217616499375,0.0037338934280283366,0.9504277855415884,0.006574269618235841,1967.2,0.9411609935714049
OHG,TO,0.6589483857635633,0.2053751324552975,0.5741295623561633,0.10424940074757735,0.5853092811915671,0.08174537366592696,38.4,0.0
OHG,VB,0.8975922174518477,0.006292352411907932,0.8615154691569689,0.005799169628809303,0.8791721476814154,0.004862324526334536,3298.8,0.9670929915676808
OHG,WH,0.7038244283045432,0.047685060856706284,0.8966258029798541,0.04397912853139294,0.7882272267092845,0.04319156545612451,123.0,0.735840721883972
